"","osm_id","osm_user","osm_uid","osm_version","osm_changeset","osm_timestamp","access","addr:housename","addr:housenumber","addr:place","addr:city","addr:country","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
"11",5360981058,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,"P. O. Box 15088, Nairobi",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carmelite Missionaries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000333333B3C3324F41C3F5285C5B8802C1"
"12",5361484324,"DingoKG","6318104","1","55745568","2018-01-25T16:13:57Z",NA,NA,"Oletianda 6, pobox 708, Karen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen little paradise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000C3F5289C94284F4133333333E72502C1"
"13",5360931828,"DingoKG","6318104","1","55739408","2018-01-25T12:27:54Z",NA,NA,"Karen Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEMASTEA",NA,"research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000052B81E85112E4F41B81E85EBFB6602C1"
"14",5360972296,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,"Bongani Road, Karen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kmercy Suites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000048E17A34C72E4F411F85EB516E6802C1"
"15",714721590,"DingoKG","6318104","2","55739408","2018-01-25T12:27:55Z",NA,NA,"Kenya Medical Training College, P. O. Box 30195, Nairobi",NA,NA,NA,NA,NA,NA,NA,"college",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTC College of Nutrition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000085EB51F8402E4F41D7A3703DFC5C02C1"
"16",5360931827,"DingoKG","6318104","1","55739408","2018-01-25T12:27:54Z",NA,NA,"P. O. Box 24002, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbion International",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000014AE47614F2E4F4185EB51B80E5102C1"
"17",1078542342,"ToffeHoff","7203","2","49448284","2017-06-11T18:08:40Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"restaurant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen Blixen Coffee House",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000C3F528DC592E4F41A4703D0AF14702C1"
"18",5360972289,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Dominic's Chapel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"christian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000048E17AD47F304F4166666666367A02C1"
"19",5360972287,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominican House of Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00003333339396304F418FC2F5281A7A02C1"
"20",5360972285,"DingoKG","6318104","1","55740125","2018-01-25T12:57:28Z",NA,NA,"Masai W Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Collingham Gardens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00000AD7A330B7304F41B81E85EB757C02C1"
