"","osm_id","osm_user","osm_uid","osm_version","osm_changeset","osm_timestamp","access","addr:housename","addr:housenumber","addr:place","addr:city","addr:country","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","construction","covered","culvert","cutting","denomination","disused","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tracktype","tunnel","water","waterway","wetland","width","wood","z_order","way_area","way"
"11",555757109,"DingoKG","6318104","1","55745568","2018-01-25T16:14:01Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000004000000C3F5287C4D324F410AD7A370879302C13D0AD74363324F413D0AD7A3709302C152B81E6575324F4185EB51B85A9302C1713D0A777E324F41CDCCCCCC029302C1"
"12",555757110,"DingoKG","6318104","1","55745568","2018-01-25T16:14:01Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F00000200000052B81E654E324F4114AE47E1969002C1666666A653324F415C8FC2F5568B02C1"
"13",169141712,"DingoKG","6318104","2","55740267","2018-01-25T13:04:15Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masai Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000020000009A9999999F314F415C8FC2F5DC9102C152B81E65B7314F4152B81E85677E02C1"
"14",239858012,"DingoKG","6318104","6","55740267","2018-01-25T13:04:14Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masai West Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F00000C0000001F85EB7142304F41E17A14AEF57E02C185EB5118AC304F410AD7A370CD7E02C19A99995913314F4100000000A67E02C1333333131A314F410AD7A370A37E02C1CDCCCCEC35314F4114AE47E1987E02C152B81E65B7314F4152B81E85677E02C114AE4741DC314F410AD7A370597E02C1000000006F324F4166666666C48302C1E17A142EDB324F4114AE47E1C28702C15C8FC255E2324F41CDCCCCCC0E8802C1B81E85EBE7324F417B14AE47698802C19A99993924334F415C8FC2F5E28E02C1"
"15",555714701,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000002000000000000006F324F4166666666C48302C185EB51B814324F4100000000FC8702C1"
"16",555714704,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ngiri Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000030000005C8FC2B56C334F417B14AE476B8402C1AE47E11A5C334F41F6285C8FF08302C1EC51B8FE42334F41713D0AD7E98302C1"
"17",555714703,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ngiri Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F00000700000048E17A148B334F419A999999278E02C1713D0A378C334F419A999999338602C10AD7A3507D334F410AD7A370AB8502C15C8FC2B56C334F417B14AE476B8402C17B14AE0768334F41E17A14AEA58302C114AE47E168334F41E17A14AECB8202C114AE47E168334F4185EB51B85E8202C1"
"18",4723988,"FranBoon","6494","1","86787","2007-06-08T21:00:43Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unclassified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oleshua Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000002000000A4703D8A5D294F4148E17A14E20A02C13D0AD78344294F41CDCCCCCCF60502C1"
"19",33135875,"ToffeHoff","7203","2","49448284","2017-06-11T18:08:41Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"0102000020110F000003000000000000001B2E4F419A999999CB6202C1000000A0262E4F4148E17A14EC6202C1666666263E2E4F4148E17A142E6302C1"
"20",499686014,"ToffeHoff","7203","1","49448284","2017-06-11T18:08:40Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"0102000020110F000007000000000000A0262E4F4148E17A14EC6202C1AE47E11A212E4F417B14AE47336202C19A9999391C2E4F41EC51B81E976102C19A9999F9182E4F41E17A14AE1D6102C1D7A3709D172E4F4114AE47E1786002C185EB5158172E4F4185EB51B8F65F02C13D0AD783192E4F4114AE47E1105F02C1"
"21",555706782,"DingoKG","6318104","1","55739408","2018-01-25T12:27:55Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000070000008FC2F5884C2E4F41295C8FC2F75C02C13D0AD7E3392E4F415C8FC2F5E85C02C1295C8FA2322E4F4148E17A142A5D02C1713D0A77282E4F418FC2F528BA5D02C148E17A34212E4F4152B81E85375E02C10AD7A3F0192E4F41CDCCCCCC4E5E02C1713D0AD70A2E4F41CDCCCCCC4E5E02C1"
"22",555184949,"DingoKG","6318104","1","55682934","2018-01-23T12:50:02Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mbagathi Ridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000009000000713D0A37842C4F41333333334F2E02C148E17AD4932C4F411F85EB51E23702C1CDCCCCECA02C4F417B14AE47273F02C1000000C0AE2C4F4166666666D44602C1C3F528BCB52C4F41713D0AD7C34A02C1D7A3703DC02C4F4185EB51B8AE5002C13D0AD7839B2C4F41C3F5285CC55302C1A4703D2A862C4F4100000000845502C1666666C6862C4F410AD7A370EB5502C1"
"23",4724011,"DingoKG","6318104","17","55739408","2018-01-25T12:27:56Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karen Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000016000000333333D3342E4F41713D0AD7DD6602C148E17AB4382E4F41E17A14AEFD6402C1666666263E2E4F4148E17A142E6302C18FC2F5884C2E4F41295C8FC2F75C02C19A999999712E4F418FC2F528F64C02C19A999959722E4F41CDCCCCCCA24C02C1A4703D0A802E4F4166666666804702C1EC51B8DE8E2E4F419A999999034102C1A4703DCA8C2E4F41A4703D0A234002C148E17AF46C2E4F41CDCCCCCC003B02C152B81E656B2E4F41D7A3703D3C3A02C1666666A66A2E4F41D7A3703D323902C1D7A370FD6B2E4F413D0AD7A3323802C1D7A3705D712E4F413D0AD7A39C3602C1D7A3707D772E4F41A4703D0AE73502C148E17AF47E2E4F410AD7A370493502C1295C8FE2972E4F413D0AD7A3563302C10AD7A370B42E4F41333333331B3102C11F85EBF1BB2E4F415C8FC2F5DA2D02C114AE4761C32E4F411F85EB51A22A02C152B81E65DF2E4F4114AE47E1CA1F02C10AD7A370E32E4F41B81E85EB391E02C1"
"24",321074703,"Simbamangu","70757","1","28011989","2015-01-09T05:16:01Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000005000000F6285C2F012E4F41D7A3703D123C02C1F6285C0F352E4F41D7A3703D843B02C18FC2F5C85F2E4F41EC51B81E3D3B02C148E17A546A2E4F41E17A14AE193B02C148E17AF46C2E4F41CDCCCCCC003B02C1"
"25",321074704,"Simbamangu","70757","1","28011989","2015-01-09T05:16:01Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F00000300000048E17AB41A2E4F41000000000E3302C1713D0AB7222E4F413D0AD7A3883502C1F6285C0F352E4F41D7A3703D843B02C1"
"26",232142778,"DingoKG","6318104","2","55739408","2018-01-25T12:27:56Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moran Lane",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dirt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000003000000F6285C8FC22F4F41EC51B81E178802C1F6285CEF30304F418FC2F528168802C11F85EB7142304F41E17A14AEF57E02C1"
"27",232139603,"Mark Davies1664","1702867","2","26089343","2014-10-15T08:09:13Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kibo Lane",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dirt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000002000000D7A3705D042F4F41A4703D0A717502C11F85EB7142304F41E17A14AEF57E02C1"
"28",232139253,"Mark Davies1664","1702867","3","26089351","2014-10-15T08:09:26Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quarry Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000080000009A999919232F4F41B81E85EB8D6802C1D7A3705D042F4F41A4703D0A717502C17B14AE27E22E4F4114AE47E16A7E02C1D7A3707D2F2F4F419A9999993F8202C1713D0A572F2F4F41AE47E17A8A8502C1AE47E1BA3B2F4F4114AE47E1548602C114AE4721522F4F4185EB51B8C68602C1F6285CCFB62F4F4114AE47E1288802C1"
"29",555706776,"DingoKG","6318104","1","55739408","2018-01-25T12:27:55Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masai West Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000004000000CDCCCCEC35314F4114AE47E1987E02C1B81E856B38314F41B81E85EB637C02C1CDCCCCEC38314F41C3F5285C817B02C1666666C657314F41AE47E17A307B02C1"
"30",555713627,"DingoKG","6318104","1","55740125","2018-01-25T12:57:29Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000060000009A99995913314F4100000000A67E02C1CDCCCCAC1D314F4152B81E85C57802C152B81EC51C314F41EC51B81E5D7802C1EC51B8DE19314F41666666661A7802C1E17A144EE3304F41F6285C8FFA7702C1C3F528DCE1304F410AD7A370717802C1"
